"mp3_website","book"
https://www.biblegateway.com/audio/mclean/kjv/Gen.1,Genesis
https://www.biblegateway.com/audio/mclean/kjv/Exod.1,Exodus
https://www.biblegateway.com/audio/mclean/kjv/Lev.1,Leviticus
https://www.biblegateway.com/audio/mclean/kjv/Num.1,Numbers
https://www.biblegateway.com/audio/mclean/kjv/Deut.1,Deuteronomy
https://www.biblegateway.com/audio/mclean/kjv/Josh.1,Joshua
https://www.biblegateway.com/audio/mclean/kjv/Judg.1,Judges
https://www.biblegateway.com/audio/mclean/kjv/Ruth.1,Ruth
https://www.biblegateway.com/audio/mclean/kjv/1Sam.1,1 Samuel
https://www.biblegateway.com/audio/mclean/kjv/2Sam.1,2 Samuel
https://www.biblegateway.com/audio/mclean/kjv/1Kgs.1,1 Kings
https://www.biblegateway.com/audio/mclean/kjv/2Kgs.1,2 Kings
https://www.biblegateway.com/audio/mclean/kjv/1Chr.1,1 Chronicles
https://www.biblegateway.com/audio/mclean/kjv/2Chr.1,2 Chronicles
https://www.biblegateway.com/audio/mclean/kjv/Ezra.1,Ezra
https://www.biblegateway.com/audio/mclean/kjv/Neh.1,Nehemiah
https://www.biblegateway.com/audio/mclean/kjv/Esth.1,Esther
https://www.biblegateway.com/audio/mclean/kjv/Job.1,Job
https://www.biblegateway.com/audio/mclean/kjv/Ps.1,Psalms
https://www.biblegateway.com/audio/mclean/kjv/Prov.1,Proverbs
https://www.biblegateway.com/audio/mclean/kjv/Eccl.1,Ecclesiastes
https://www.biblegateway.com/audio/mclean/kjv/Song.1,Song of Solomon
https://www.biblegateway.com/audio/mclean/kjv/Isa.1,Isaiah
https://www.biblegateway.com/audio/mclean/kjv/Jer.1,Jeremiah
https://www.biblegateway.com/audio/mclean/kjv/Lam.1,Lamentations
https://www.biblegateway.com/audio/mclean/kjv/Ezek.1,Ezekiel
https://www.biblegateway.com/audio/mclean/kjv/Dan.1,Daniel
https://www.biblegateway.com/audio/mclean/kjv/Hos.1,Hosea
https://www.biblegateway.com/audio/mclean/kjv/Joel.1,Joel
https://www.biblegateway.com/audio/mclean/kjv/Amos.1,Amos
https://www.biblegateway.com/audio/mclean/kjv/Obad.1,Obadiah
https://www.biblegateway.com/audio/mclean/kjv/Jonah.1,Jonah
https://www.biblegateway.com/audio/mclean/kjv/Mic.1,Micah
https://www.biblegateway.com/audio/mclean/kjv/Nah.1,Nahum
https://www.biblegateway.com/audio/mclean/kjv/Hab.1,Habakkuk
https://www.biblegateway.com/audio/mclean/kjv/Zeph.1,Zephaniah
https://www.biblegateway.com/audio/mclean/kjv/Hag.1,Haggai
https://www.biblegateway.com/audio/mclean/kjv/Zech.1,Zechariah
https://www.biblegateway.com/audio/mclean/kjv/Mal.1,Malachi
https://www.biblegateway.com/audio/mclean/kjv/Matt.1,Matthew
https://www.biblegateway.com/audio/mclean/kjv/Mark.1,Mark
https://www.biblegateway.com/audio/mclean/kjv/Luke.1,Luke
https://www.biblegateway.com/audio/mclean/kjv/John.1,John
https://www.biblegateway.com/audio/mclean/kjv/Acts.1,Acts
https://www.biblegateway.com/audio/mclean/kjv/Rom.1,Romans
https://www.biblegateway.com/audio/mclean/kjv/1Cor.1,1 Corinthians
https://www.biblegateway.com/audio/mclean/kjv/2Cor.1,2 Corinthians
https://www.biblegateway.com/audio/mclean/kjv/Gal.1,Galatians
https://www.biblegateway.com/audio/mclean/kjv/Eph.1,Ephesians
https://www.biblegateway.com/audio/mclean/kjv/Phil.1,Philippians
https://www.biblegateway.com/audio/mclean/kjv/Col.1,Colossians
https://www.biblegateway.com/audio/mclean/kjv/1Thess.1,1 Thessalonians
https://www.biblegateway.com/audio/mclean/kjv/2Thess.1,2 Thessalonians
https://www.biblegateway.com/audio/mclean/kjv/1Tim.1,1 Timothy
https://www.biblegateway.com/audio/mclean/kjv/2Tim.1,2 Timothy
https://www.biblegateway.com/audio/mclean/kjv/Titus.1,Titus
https://www.biblegateway.com/audio/mclean/kjv/Phlm.1,Philemon
https://www.biblegateway.com/audio/mclean/kjv/Heb.1,Hebrews
https://www.biblegateway.com/audio/mclean/kjv/Jas.1,James
https://www.biblegateway.com/audio/mclean/kjv/1Pet.1,1 Peter
https://www.biblegateway.com/audio/mclean/kjv/2Pet.1,2 Peter
https://www.biblegateway.com/audio/mclean/kjv/1John.1,1 John
https://www.biblegateway.com/audio/mclean/kjv/2John.1,2 John
https://www.biblegateway.com/audio/mclean/kjv/3John.1,3 John
https://www.biblegateway.com/audio/mclean/kjv/Jude.1,Jude
https://www.biblegateway.com/audio/mclean/kjv/Rev.1,Revelation
